ID,online-retailer,title,Galileo,Beidou,fast charging,thermal camera,operating system,notification diode,auto focus,number of ratings,memory card slot,in-display fingerprint reader,removable battery,colour,number of front camera lenses,5G,reverse wireless charging,face unlock,configuration cards,resolution total,resolution height,3.5mm jack,processor manufacturer,SIM card type,wide angle lens,Bokeh effect,hybrid zoom,without fingerprint reader,brand,macro mode,rear cam resolution,width,optical zoom,NFC,display size,GPS,warranty,display refresh rate,weight,Bluetooth,connector,resolution width,A-GPS,GLONASS,cutout shape,maximum memory card size,body fingerprint reader,rating,Wi-Fi,4G/LTE,flash diode,infrared,depth,volume,number of rear camera lenses,price,degree of protection,number of cores,battery type,charging power,length,front cam resolution,night mode,RAM,processor model,processor frequency,battery capacity,wireless charging,telephoto,FM-radio,internal memory,system superstructure
11,DatArt,Mobilní telefon Apple iPhone 15 Pro Max 256GB Natural Titanium (MU793SX/A),True,True,True,False,iOs 17,False,True,18,False,False,False,titanium,1,True,False,True,Single SIM + eSIM,3606840,1290,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.7,False,True,6.7,True,24,120,200.0,True,USB-C,2796,False,True,rectangle,,False,4.9,True,True,True,False,0.8,98.56,3,34490,IP68,6,Li-Ion,,16.0,12.0,True,,A17 Pro,,,True,False,False,256,without superstructure
12,DatArt,Mobilní telefon Xiaomi Redmi Note 13 8 GB / 256 GB (52911) černý,True,True,True,False,Android 13.0,False,True,0,True,True,False,black,1,False,False,True,Hybrid slot (2x SIM or 1x SIM + memory card),2592000,1080,True,Qualcomm,nano SIM,True,False,False,False,Xiaomi,True,108.0,7.6,False,True,6.67,True,24,120,200.0,True,USB-C,2400,False,True,bullet hole,1,False,,True,True,True,True,0.8,98.496,3,5599,IP54,8,Li-Pol,33,16.2,16.0,True,8,Snapdragon 685,2.8,5000,False,False,False,256,MIUI
13,DatArt,Mobilní telefon Apple iPhone 15 Pro 256GB White Titanium (MTV43SX/A),True,True,True,False,iOs 17,False,True,2,False,False,False,white,1,True,False,True,Single SIM + eSIM,3013524,1179,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.1,False,True,6.1,True,24,120,200.0,True,USB-C,2556,False,True,rectangle,,False,5.0,True,True,True,False,0.8,83.496,3,31490,IP68,6,Li-Ion,,14.7,12.0,True,,A17 Pro,,,True,False,False,256,without superstructure
14,DatArt,Mobilní telefon Apple iPhone 15 Pro 256GB Black Titanium (MTV13SX/A),True,True,True,False,iOs 17,False,True,13,False,False,False,black,1,True,False,True,Single SIM + eSIM,3013524,1179,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.1,False,True,6.1,True,24,120,200.0,True,USB-C,2556,False,True,rectangle,,False,4.9,True,True,True,False,0.8,83.496,3,31490,IP68,6,Li-Ion,,14.7,12.0,True,,A17 Pro,,,True,False,False,256,without superstructure
15,DatArt,Mobilní telefon Xiaomi Redmi Note 13 Pro 5G 8 GB / 256 GB (50838) fialový,True,True,True,False,Android 13.0,False,True,13,False,True,False,purple,1,True,False,True,Dual SIM (2x SIM),3308640,1220,True,Qualcomm,nano SIM,True,False,False,False,Xiaomi,True,200.0,7.5,False,True,6.67,True,24,120,200.0,True,USB-C,2712,False,True,bullet hole,,False,4.7,True,True,True,True,0.8,96.60000000000001,3,8999,IP54,8,Li-Pol,67,16.1,16.0,True,8,Snapdragon 7s Gen 2,2.4,5100,False,False,False,256,MIUI
16,DatArt,Mobilní telefon Apple iPhone 15 128GB Pink (MTP13SX/A),True,True,True,False,iOs 17,False,True,17,False,False,False,pink,1,True,False,True,Single SIM + eSIM,3013524,1179,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.2,False,True,6.1,True,24,60,200.0,True,USB-C,2556,False,True,rectangle,,False,4.6,True,True,True,False,0.8,85.24800000000002,2,22490,IP68,6,Li-Ion,,14.8,12.0,True,,A16 Bionic,,,True,False,False,128,without superstructure
17,DatArt,Mobilní telefon Apple iPhone 15 128GB Blue (MTP43SX/A),True,True,True,False,iOs 17,False,True,22,False,False,False,blue,1,True,False,True,Single SIM + eSIM,3013524,1179,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.2,False,True,6.1,True,24,60,200.0,True,USB-C,2556,False,True,rectangle,,False,5.0,True,True,True,False,0.8,85.24800000000002,2,22490,IP68,6,Li-Ion,,14.8,12.0,True,,A16 Bionic,,,True,False,False,128,without superstructure
18,DatArt,Mobilní telefon Motorola Edge 40 Neo 12 GB / 256 GB - Caneel Bay (Vegan Leather) (PAYH0038PL),True,False,True,False,Android 13.0,False,True,6,False,True,False,blue,1,False,False,True,Single SIM + eSIM,2397600,2220,False,MediaTek,nano SIM  + eSIM,True,False,False,False,Motorola,True,50.0,7.2,False,True,6.5,True,24,144,200.0,True,USB-C,1080,True,True,bullet hole,,False,5.0,True,True,True,False,0.8,92.16000000000001,2,10989,IP68,8,other,68,16.0,32.0,True,12,Dimensity 7030,2.5,5000,False,False,False,256,pure Android
19,DatArt,Mobilní telefon Apple iPhone 15 Pro Max 256GB Blue Titanium (MU7A3SX/A),True,True,True,False,iOs 17,False,True,7,False,False,False,blue,1,True,False,True,Single SIM + eSIM,3606840,1290,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.7,False,True,6.7,True,24,120,200.0,True,USB-C,2796,False,True,rectangle,,False,5.0,True,True,True,False,0.8,98.56,3,34490,IP68,6,Li-Ion,,16.0,12.0,True,,A17 Pro,,,True,False,False,256,without superstructure
20,DatArt,Mobilní telefon Xiaomi Redmi Note 13 Pro+ 5G 12 GB / 512 GB (50813) fialový,True,True,True,False,Android 13.0,False,True,7,False,True,False,purple,1,True,False,True,Dual SIM (2x SIM),3308640,1220,False,MediaTek,nano SIM,True,False,False,False,Xiaomi,True,200.0,7.4,False,True,6.67,True,24,120,200.0,True,USB-C,2712,False,True,bullet hole,,False,5.0,True,True,True,True,0.9,107.22600000000001,3,12499,IP68,8,Li-Pol,120,16.1,16.0,True,12,Dimensity 7200 Ultra,2.8,5000,False,False,False,512,MIUI
21,DatArt,Mobilní telefon Apple iPhone 15 Pro 128GB Blue Titanium (MTV03SX/A),True,True,True,False,iOs 17,False,True,14,False,False,False,blue,1,True,False,True,Single SIM + eSIM,3013524,1179,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.1,False,True,6.1,True,24,120,200.0,True,USB-C,2556,False,True,rectangle,,False,4.7,True,True,True,False,0.8,83.496,3,28490,IP68,6,Li-Ion,,14.7,12.0,True,,A17 Pro,,,True,False,False,128,without superstructure
22,DatArt,Mobilní telefon Motorola Moto G54 5G Power Edition 12 GB / 256 GB - Midnight Blue (PB0W0003RO),True,False,True,False,Android 13.0,False,True,89,True,True,False,blue,1,True,False,True,Single SIM + eSIM + Memory Card,2592000,1080,True,MediaTek,nano SIM  + eSIM,True,False,False,False,Motorola,True,50.0,7.4,False,True,6.5,True,24,120,200.0,True,USB-C,2400,False,True,bullet hole,1,False,4.8,True,True,True,False,0.9,107.22600000000001,2,4989,IP52,8,other,30,16.1,16.0,True,12,Dimensity 7020,2.2,6000,False,False,True,256,pure Android
23,DatArt,Mobilní telefon Apple iPhone 15 Pro Max 256GB White Titanium (MU783SX/A),True,True,True,False,iOs 17,False,True,3,False,False,False,white,1,True,False,True,Single SIM + eSIM,3606840,1290,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.7,False,True,6.7,True,24,120,200.0,True,USB-C,2796,False,True,rectangle,,False,5.0,True,True,True,False,0.8,98.56,3,34490,IP68,6,Li-Ion,,16.0,12.0,True,,A17 Pro,,,True,False,False,256,without superstructure
24,DatArt,Mobilní telefon Infinix Note 30 PRO 8 GB / 256 GB (X678BMB) černý,False,False,True,False,Android 13.0,False,True,57,True,False,False,black,1,False,False,False,Dual SIM + Memory Card (2x SIM + Memory Card),2592000,1080,True,MediaTek,nano SIM,False,False,False,False,Infinix,True,108.0,7.6,False,True,6.67,True,24,120,200.0,True,USB-C,2400,False,False,bullet hole,2,True,4.6,True,True,True,False,0.8,99.104,3,4889,IP53,8,Li-Pol,68,16.3,32.0,False,8,Helio G99,2.2,5000,True,False,True,256,XOS
